subj_num,congruent,incongruent
1,13.741,22.715
2,14.788,25.916
3,16.819,25.677
4,11.888,21.213
5,10.516,22.556
6,9.436,20.715
7,13.256,26.072
8,18.643,35.135
9,15.827,32.161
10,13,25
11,17.6,17.513
12,19.065,28.724
13,16.387,19.028
14,19.765,33.259
15,10.281,25.849
16,16.702,20.62
17,17.465,21.981
18,19.04,29.129
19,22.678,28.249
20,15.767,26.069
21,14.445,16.273
22,16.888,28.54
23,10.034,24.069
24,10.091,17.241
25,16.46,24.18
26,15.721,22.622
27,10.9,18.1
28,17.196,20.492
29,21.392,26.789
30,17.725,28.75
31,23.204,31.584
32,15.926,26.59
33,16.618,17.744
34,14.85,24.8
35,13.003,19.204
36,15.247,20.389
37,9.396,21.525
38,11.998,18.776
39,15.615,20.585
40,22.891,28.302
41,10.825,16.13
42,14.69,21.712
43,21,22
44,18.363,26.899
45,9.733,10.396
46,14.563,24.382
47,12.162,19.769
48,13.076,21.463
